sample_name,genome,tag,input_id,input_value,input_type,md5
CoccomyxaSubellipsoidea-fasta-default,CoccomyxaSubellipsoidea,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/cvu.fasta.gz,files,4c226bef275df8f8fea3ccae66c44596
DaucusCarota-fasta-default,DaucusCarota,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/dca.con.gz,files,a661c01682987d830cbf4e01543e09d2
EucalyptusGrandis_JGI_v1_0-fasta-default,EucalyptusGrandis_JGI_v1_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/egr.con.gz,files,e20dce2787119ce7fdb4773e915e851a
EucalyptusGrandis_JGI_v2_0-fasta-default,EucalyptusGrandis_JGI_v2_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/egr.con.gz,files,defeca35c7d6674c2f99e9c2c2abbbc7
ElaeisGuineensis_NCBI-fasta-default,ElaeisGuineensis_NCBI,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04/Genomes/egu.con.gz,files,3b1f353e54487e103acebfc733e46a16
ElaeisGuineensis_EG5-fasta-default,ElaeisGuineensis_EG5,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/egu.fasta.gz,files,74cf676a593b856fe9a6d262b9739b40
ErythrantheGuttata-fasta-default,ErythrantheGuttata,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/egut.con.gz,files,aa3653ff6f11451b1f5366fa2a650987
EctocarpusSiliculosus-fasta-default,EctocarpusSiliculosus,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/esi.fasta.gz,files,472fc9c4a77a2abb814cc75e50526898
FragilariopsisCylindrus-fasta-default,FragilariopsisCylindrus,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/fcy.fasta.gz,files,112b7e6f2451396152c5a0b523396073
FragariaVesca_v1_0-fasta-default,FragariaVesca_v1_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/fve.con.gz,files,c02ef9a97d025ac2ec4c43bce12c4963
FragariaVesca_v1_1-fasta-default,FragariaVesca_v1_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/fve.con.gz,files,d1fc6b0d37641792a4ae71f81a63c9b5
GlycineMax-fasta-default,GlycineMax,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/gma.con.gz,files,f5fe43d532164de827449fa7f524b6e7
GossypiumRaimondii_JGI_v2_0-fasta-default,GossypiumRaimondii_JGI_v2_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/gra.con.gz,files,4cddab5de17b670495047446160605df
GossypiumRaimondii_JGI_v2_1-fasta-default,GossypiumRaimondii_JGI_v2_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/gra.con.gz,files,b1fa165124179a69fbddf55c8856b1e5
Hevea_brasiliensis__NCBI_Genomes_v1-fasta-default,Hevea_brasiliensis__NCBI_Genomes_v1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/hbr.con.gz,files,7c5db4f436dd3994d8205dfb5165026c
Helicosporidium-fasta-default,Helicosporidium,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/hsp.fasta.gz,files,49d843386f7c3ec1455ecf41759e32c8
Hordeum_vulgare_MIPS-fasta-default,Hordeum_vulgare_MIPS,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_03/Genomes/hvu.con.gz,files,9714c4560a336c12568316854423b045
HordeumVulgare_ASM32608v1-fasta-default,HordeumVulgare_ASM32608v1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04/Genomes/hvu.con.gz,files,75d3d6b92098b90842c5ae780d4d0771
HordeumVulgare_IBC_v2-fasta-default,HordeumVulgare_IBC_v2,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/hvu.fasta.gz,files,25f9bdf9b34bbb4f5f032537eb91a1a5
LotusJaponicus-fasta-default,LotusJaponicus,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/lja.con.gz,files,2cf39464a83c4d1cee46bea8f28d41b9
MusaAcuminata_v1_0-fasta-default,MusaAcuminata_v1_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04/Genomes/mac.con.gz,files,fa8b6978201546f563ce989aef036a39
